[nltk_data] Downloading package punkt to /home/anurag/nltk_data...
[nltk_data]   Package punkt is already up-to-date!
/home/anurag/anaconda3/envs/med_vqa/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2354: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
178
device cuda:1
Epoch 0/199
----------
| TRAIN SET | Epoch [01/200], Step[0000/0444], Loss: 6.1042, Top 1 Acc: 0.0000, Top 5 Acc: 0.0058, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0010/0444], Loss: 4.6493, Top 1 Acc: 0.1562, Top 5 Acc: 0.4844, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0020/0444], Loss: 4.3432, Top 1 Acc: 0.0926, Top 5 Acc: 0.4600, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0030/0444], Loss: 4.5238, Top 1 Acc: 0.1377, Top 5 Acc: 0.4259, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0040/0444], Loss: 4.0459, Top 1 Acc: 0.1973, Top 5 Acc: 0.5138, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0050/0444], Loss: 4.2655, Top 1 Acc: 0.1094, Top 5 Acc: 0.4375, Bleu: 0.0650
| TRAIN SET | Epoch [01/200], Step[0060/0444], Loss: 4.3815, Top 1 Acc: 0.1326, Top 5 Acc: 0.3982, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0070/0444], Loss: 3.8636, Top 1 Acc: 0.2042, Top 5 Acc: 0.4913, Bleu: 0.0131
| TRAIN SET | Epoch [01/200], Step[0080/0444], Loss: 4.0463, Top 1 Acc: 0.2199, Top 5 Acc: 0.4092, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0090/0444], Loss: 3.9147, Top 1 Acc: 0.2020, Top 5 Acc: 0.3866, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0100/0444], Loss: 3.8118, Top 1 Acc: 0.1875, Top 5 Acc: 0.4931, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0110/0444], Loss: 4.0822, Top 1 Acc: 0.1562, Top 5 Acc: 0.3877, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0120/0444], Loss: 3.7689, Top 1 Acc: 0.1846, Top 5 Acc: 0.5116, Bleu: 0.0000
